iter	Passed	Remaining
0	52	25954
1	53	13383
2	55	9191
3	57	7107
4	59	5852
5	60	5015
6	62	4409
7	64	3949
8	65	3596
9	67	3320
10	69	3098
11	71	2903
12	73	2735
13	74	2593
14	76	2476
15	78	2367
16	80	2279
17	81	2194
18	83	2117
19	85	2047
20	87	1985
21	88	1927
22	90	1874
23	91	1823
24	93	1781
25	95	1739
26	97	1701
27	98	1665
28	100	1632
29	102	1602
30	103	1573
31	105	1547
32	107	1522
33	109	1498
34	111	1475
35	112	1453
36	114	1432
37	116	1413
38	117	1394
39	119	1377
40	121	1361
41	123	1345
42	125	1329
43	126	1314
44	128	1300
45	130	1286
46	132	1274
47	134	1262
48	135	1250
49	137	1238
50	139	1226
51	141	1215
52	143	1206
53	144	1196
54	146	1187
55	148	1177
56	150	1168
57	152	1160
58	153	1150
59	155	1141
60	157	1133
61	159	1125
62	161	1116
63	162	1108
64	164	1100
65	166	1092
66	167	1084
67	169	1077
68	171	1070
69	173	1063
70	174	1055
71	176	1049
72	178	1042
73	180	1036
74	181	1030
75	183	1024
76	185	1018
77	187	1012
78	188	1006
79	190	1000
80	192	995
81	194	990
82	196	984
83	197	979
84	199	974
85	201	969
86	203	964
87	204	958
88	206	953
89	208	949
90	210	944
91	211	939
92	213	934
93	215	930
94	217	926
95	219	921
96	220	917
97	222	913
98	224	909
99	226	904
100	227	900
101	229	896
102	231	892
103	233	887
104	235	884
105	236	880
106	238	877
107	240	873
108	242	869
109	244	866
110	246	862
111	247	858
112	249	854
113	251	851
114	253	847
115	255	844
116	256	841
117	258	837
118	260	833
119	262	830
120	264	827
121	265	823
122	267	820
123	269	817
124	270	811
125	272	808
126	273	804
127	275	801
128	277	798
129	279	795
130	281	792
131	282	788
132	284	785
133	286	782
134	288	779
135	289	776
136	291	772
137	293	769
138	295	767
139	297	764
140	298	760
141	300	758
142	302	754
143	304	751
144	305	748
145	307	745
146	309	742
147	311	740
148	313	737
149	314	734
150	316	730
151	317	727
152	319	725
153	321	721
154	323	719
155	324	716
156	326	714
157	328	711
158	330	708
159	332	706
160	334	703
