code,description,level,parent_code,raw_text,full_path,level_1,level_2,level_4,level_6,level_8,parent_2,parent_4,parent_6,parent_8
I,ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ,section,,I | ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05),I: ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТ,I,I,I,I,I,I,I,I,I
II,ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ,section,,II | ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ (06-14),II: ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХО,I,II,II,II,II,II,II,II,II
III,"ЖИРЫ И МАСЛА ЖИВОТНОГО, РАСТИТЕЛЬНОГО ИЛИ МИКРОБИОЛОГИЧЕСКОГО ПРОИСХОЖДЕНИЯ И ПРОДУКТЫ ИХ РАСЩЕПЛЕНИЯ; ГОТОВЫЕ ПИЩЕВЫЕ ЖИРЫ; ВОСКИ ЖИВОТНОГО ИЛИ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ (15)",section,,"III | ЖИРЫ И МАСЛА ЖИВОТНОГО, РАСТИТЕЛЬНОГО ИЛИ МИКРОБИОЛОГИЧЕСКОГО ПРОИСХОЖДЕНИЯ И ПРОДУКТЫ ИХ РАСЩЕПЛЕНИЯ; ГОТОВЫЕ ПИЩЕВЫЕ ЖИРЫ; ВОСКИ ЖИВОТНОГО ИЛИ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ (15)","III: ЖИРЫ И МАСЛА ЖИВОТНОГО, РАСТИТ",I,II,III,III,III,II,III,III,III
IV,"ПИЩЕВЫЕ ПРОДУКТЫ; АЛКОГОЛЬНЫЕ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ И УКСУС; ТАБАК И ПРОМЫШЛЕННЫЕ ЗАМЕНИТЕЛИ ТАБАКА; ПРОДУКЦИЯ, СОДЕРЖАЩАЯ ИЛИ НЕ СОДЕРЖАЩАЯ НИКОТИН, ПРЕДНАЗНАЧЕННАЯ ДЛЯ ВДЫХАНИЯ БЕЗ ГОРЕНИЯ; ПРОЧАЯ ПРОДУКЦИЯ, СОДЕРЖАЩАЯ НИКОТИН И ПРЕДНАЗНАЧЕННАЯ ДЛЯ ПОСТУПЛЕНИЯ НИКОТИНА В ОРГАНИЗМ ЧЕЛОВЕКА",section,,"IV | ПИЩЕВЫЕ ПРОДУКТЫ; АЛКОГОЛЬНЫЕ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ И УКСУС; ТАБАК И ПРОМЫШЛЕННЫЕ ЗАМЕНИТЕЛИ ТАБАКА; ПРОДУКЦИЯ, СОДЕРЖАЩАЯ ИЛИ НЕ СОДЕРЖАЩАЯ НИКОТИН, ПРЕДНАЗНАЧЕННАЯ ДЛЯ ВДЫХАНИЯ БЕЗ ГОРЕНИЯ; ПРОЧАЯ ПРОДУКЦИЯ, СОДЕРЖАЩАЯ НИКОТИН И ПРЕДНАЗНАЧЕННАЯ ДЛЯ ПОСТУПЛЕНИЯ НИКОТИНА В ОРГАНИЗМ ЧЕЛОВЕКА (16-24)",IV: ПИЩЕВЫЕ ПРОДУКТЫ; АЛКОГОЛЬНЫЕ ,I,IV,IV,IV,IV,IV,IV,IV,IV
V,МИНЕРАЛЬНЫЕ ПРОДУКТЫ,section,,V | МИНЕРАЛЬНЫЕ ПРОДУКТЫ (25-27),V: МИНЕРАЛЬНЫЕ ПРОДУКТЫ,V,V,V,V,V,V,V,V,V
VI,ПРОДУКЦИЯ ХИМИЧЕСКОЙ И СВЯЗАННЫХ С НЕЙ ОТРАСЛЕЙ ПРОМЫШЛЕННОСТИ,section,,VI | ПРОДУКЦИЯ ХИМИЧЕСКОЙ И СВЯЗАННЫХ С НЕЙ ОТРАСЛЕЙ ПРОМЫШЛЕННОСТИ (28-38),VI: ПРОДУКЦИЯ ХИМИЧЕСКОЙ И СВЯЗАНН,V,VI,VI,VI,VI,VI,VI,VI,VI
VII,"ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ; КАУЧУК, РЕЗИНА И ИЗДЕЛИЯ ИЗ НИХ",section,,"VII | ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ; КАУЧУК, РЕЗИНА И ИЗДЕЛИЯ ИЗ НИХ (39-40)",VII: ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ; К,V,VI,VII,VII,VII,VI,VII,VII,VII
VIII,"НЕОБРАБОТАННЫЕ ШКУРЫ, ВЫДЕЛАННАЯ КОЖА, НАТУРАЛЬНЫЙ МЕХ И ИЗДЕЛИЯ ИЗ НИХ; ШОРНО-СЕДЕЛЬНЫЕ ИЗДЕЛИЯ И УПРЯЖЬ; ДОРОЖНЫЕ ПРИНАДЛЕЖНОСТИ, СУМКИ И АНАЛОГИЧНЫЕ ИМ ТОВАРЫ; ИЗДЕЛИЯ ИЗ ВНУТРЕННИХ ОРГАНОВ ЖИВОТНЫХ (КРОМЕ ШЕЛКООТДЕЛИТЕЛЬНЫХ ЖЕЛЕЗ ШЕЛКОПРЯДА)",section,,"VIII | НЕОБРАБОТАННЫЕ ШКУРЫ, ВЫДЕЛАННАЯ КОЖА, НАТУРАЛЬНЫЙ МЕХ И ИЗДЕЛИЯ ИЗ НИХ; ШОРНО-СЕДЕЛЬНЫЕ ИЗДЕЛИЯ И УПРЯЖЬ; ДОРОЖНЫЕ ПРИНАДЛЕЖНОСТИ, СУМКИ И АНАЛОГИЧНЫЕ ИМ ТОВАРЫ; ИЗДЕЛИЯ ИЗ ВНУТРЕННИХ ОРГАНОВ ЖИВОТНЫХ (КРОМЕ ШЕЛКООТДЕЛИТЕЛЬНЫХ ЖЕЛЕЗ ШЕЛКОПРЯДА) (41-43)","VIII: НЕОБРАБОТАННЫЕ ШКУРЫ, ВЫДЕЛАНН",V,VI,VIII,VIII,VIII,VI,VIII,VIII,VIII
IX,"ДРЕВЕСИНА И ИЗДЕЛИЯ ИЗ НЕЕ; ДРЕВЕСНЫЙ УГОЛЬ; ПРОБКА И ИЗДЕЛИЯ ИЗ НЕЕ; ИЗДЕЛИЯ ИЗ СОЛОМЫ, АЛЬФЫ ИЛИ ИЗ ПРОЧИХ МАТЕРИАЛОВ ДЛЯ ПЛЕТЕНИЯ; КОРЗИНОЧНЫЕ И ДРУГИЕ ПЛЕТЕНЫЕ ИЗДЕЛИЯ",section,,"IX | ДРЕВЕСИНА И ИЗДЕЛИЯ ИЗ НЕЕ; ДРЕВЕСНЫЙ УГОЛЬ; ПРОБКА И ИЗДЕЛИЯ ИЗ НЕЕ; ИЗДЕЛИЯ ИЗ СОЛОМЫ, АЛЬФЫ ИЛИ ИЗ ПРОЧИХ МАТЕРИАЛОВ ДЛЯ ПЛЕТЕНИЯ; КОРЗИНОЧНЫЕ И ДРУГИЕ ПЛЕТЕНЫЕ ИЗДЕЛИЯ (44-46)",IX: ДРЕВЕСИНА И ИЗДЕЛИЯ ИЗ НЕЕ; ДР,I,IX,IX,IX,IX,IX,IX,IX,IX
X,"МАССА ИЗ ДРЕВЕСИНЫ ИЛИ ИЗ ДРУГИХ ВОЛОКНИСТЫХ ЦЕЛЛЮЛОЗНЫХ МАТЕРИАЛОВ; РЕГЕНЕРИРУЕМЫЕ БУМАГА ИЛИ КАРТОН (МАКУЛАТУРА И ОТХОДЫ); БУМАГА, КАРТОН И ИЗДЕЛИЯ ИЗ НИХ",section,,"X | МАССА ИЗ ДРЕВЕСИНЫ ИЛИ ИЗ ДРУГИХ ВОЛОКНИСТЫХ ЦЕЛЛЮЛОЗНЫХ МАТЕРИАЛОВ; РЕГЕНЕРИРУЕМЫЕ БУМАГА ИЛИ КАРТОН (МАКУЛАТУРА И ОТХОДЫ); БУМАГА, КАРТОН И ИЗДЕЛИЯ ИЗ НИХ (47-49)",X: МАССА ИЗ ДРЕВЕСИНЫ ИЛИ ИЗ ДРУГ,X,X,X,X,X,X,X,X,X
